,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3383,0,990,3700,467,75,4,682,70,180,4
1,3347,0,972,3680,461,81,4,686,70,180,4
2,3355,0,1011,3698,435,78,4,684,70,180,4
3,3355,61,950,3702,433,79,4,662,70,180,4
4,3328,98,898,3716,418,82,4,652,70,180,4
5,3296,197,890,3739,424,83,4,651,70,180,4
6,3293,193,851,3740,419,82,4,653,70,180,4
7,3299,169,896,3744,460,81,4,656,70,180,4
8,3351,145,859,3730,492,84,4,666,70,180,4
9,3358,122,891,3722,498,82,4,674,70,180,4
10,3344,130,902,3723,504,85,4,674,70,180,4
11,3348,89,937,3723,528,85,4,674,70,180,4
12,3346,99,943,3715,524,85,4,676,70,180,4
13,3349,107,972,3713,514,75,4,686,70,180,4
14,3374,0,939,3728,535,85,3,681,70,180,4
15,3385,0,944,3700,518,85,3,686,70,180,4
16,3366,0,951,3695,519,85,3,689,70,180,4
17,3391,0,976,3654,536,84,4,695,70,180,4
18,3387,0,970,3655,549,83,4,697,70,180,4
19,3376,0,976,3667,590,81,4,697,70,180,4
20,3344,0,944,3633,660,84,0,699,70,180,4
21,3322,0,962,3646,700,85,0,695,70,180,4
22,3280,0,941,3719,799,85,0,666,70,180,4
23,3227,0,951,3667,840,84,0,659,70,180,4
24,3143,0,1004,3662,773,84,124,649,70,180,4
25,3108,0,1131,3611,667,87,188,650,70,180,4
26,3065,0,1009,3632,743,87,0,661,70,180,4
27,3203,0,945,3667,379,87,0,653,70,180,4
28,3258,0,955,3725,264,86,0,653,70,180,4
29,3280,0,1023,3728,299,87,0,652,70,180,4
30,3281,0,1011,3730,297,86,0,667,70,180,4
31,3323,0,1008,3735,377,84,0,665,70,180,4
32,3357,0,981,3742,410,80,0,670,70,180,4
33,3378,0,934,3767,454,82,0,651,70,180,4
34,3393,0,884,3782,410,75,0,624,70,180,4
35,3399,0,879,3777,409,73,0,631,70,180,4
36,3409,0,867,3786,436,73,0,637,70,180,4
37,3442,0,855,3782,464,66,0,632,70,180,4
38,3456,0,855,3776,480,67,0,616,70,180,4
39,3454,0,865,3771,490,66,0,633,70,180,4
40,3447,0,858,3764,504,68,0,635,70,180,4
41,3463,0,866,3774,502,64,0,640,70,180,4
42,3455,0,875,3765,510,68,0,642,70,180,4
43,3453,0,931,3765,519,69,0,644,70,180,4
44,3459,0,927,3769,555,70,0,639,70,180,4
45,3483,0,928,3760,584,71,0,638,70,180,4
46,3483,0,933,3760,589,68,0,644,70,180,4
47,3467,0,946,3742,672,72,0,644,70,180,4
48,3462,0,937,3742,689,69,0,646,70,180,4
49,3446,0,919,3760,681,70,0,647,70,180,4
50,3445,0,880,3769,661,73,0,647,70,180,4
51,3455,0,878,3765,575,74,0,646,70,180,4
52,3456,0,889,3763,499,72,0,648,70,180,4
53,3455,0,841,3767,458,73,0,629,70,180,4
54,3437,0,788,3777,516,72,0,612,70,180,4
55,3484,0,822,3776,541,72,0,617,70,180,4
56,3491,0,820,3760,557,74,0,623,70,180,4
57,3494,0,831,3758,563,74,0,626,70,180,4
58,3504,0,837,3753,582,74,0,633,70,180,4
59,3488,0,833,3735,591,74,0,636,70,180,4
60,3493,0,813,3735,598,68,0,637,70,180,4
61,3504,0,811,3741,606,73,0,641,70,180,4
62,3510,0,820,3731,615,76,0,645,70,180,4
63,3509,0,833,3724,621,75,0,647,70,180,4
