,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3430,0,0,1623,564,62,864,849,110,183,2
1,3419,0,0,1615,562,62,863,847,110,183,2
2,3430,0,0,1627,562,62,865,848,110,183,2
3,3435,0,0,1622,563,62,865,849,110,183,2
4,3429,0,0,1622,561,63,866,848,110,183,2
5,3427,0,0,1620,562,63,866,848,110,183,2
6,3427,0,0,1616,562,63,866,848,110,183,2
7,3429,0,0,1498,559,63,866,849,110,183,2
8,3427,0,0,1330,560,63,866,850,110,183,2
9,3429,0,0,1342,560,63,866,850,110,183,2
10,3437,0,0,1328,560,64,866,850,110,183,2
11,3433,0,0,1566,559,63,865,848,110,183,2
12,3417,0,0,1563,558,63,867,849,110,183,2
13,3430,0,0,1639,558,63,868,847,110,183,2
14,3422,0,0,944,538,63,874,846,110,183,2
15,3408,0,0,0,520,63,877,853,110,183,2
16,3392,0,0,784,519,63,874,853,110,183,2
17,3411,0,0,958,534,64,873,852,110,183,2
18,3413,0,0,988,532,62,873,851,110,183,2
19,3411,0,0,875,527,63,875,852,110,183,2
20,3412,0,0,912,532,62,876,851,110,183,2
21,3413,0,0,967,532,62,876,851,110,183,2
22,3399,0,0,935,533,62,875,851,110,183,2
23,3412,0,0,912,531,62,876,852,110,183,2
24,3414,0,0,910,535,62,876,852,110,183,2
25,3415,0,0,912,536,62,877,852,110,183,2
26,3409,0,0,896,534,61,876,853,110,183,2
27,3413,0,0,962,537,61,875,853,110,183,2
28,3417,0,0,989,537,62,874,853,110,183,2
29,3414,0,0,998,538,63,874,853,110,183,2
30,3417,0,0,990,536,61,875,853,110,183,2
31,3419,0,0,957,535,62,876,853,110,183,2
32,3418,0,0,974,538,63,876,853,110,183,2
33,3421,0,0,963,538,63,877,853,110,183,2
34,3419,0,0,912,538,62,875,852,110,183,2
35,3421,0,0,861,537,63,877,855,110,183,2
36,3415,0,0,867,539,62,876,857,110,183,2
37,3406,0,0,903,539,61,875,856,110,183,2
38,3413,0,0,912,540,61,876,857,110,183,2
39,3411,0,0,960,540,62,877,856,110,183,2
40,3411,0,0,966,539,63,877,857,110,183,2
41,3411,0,0,988,538,62,878,857,110,183,2
42,3414,0,0,997,539,64,878,857,110,183,2
43,3405,0,0,967,537,62,877,855,110,183,2
44,3403,0,0,945,537,62,877,856,110,183,2
45,3402,0,0,942,537,62,877,857,110,183,2
46,3414,0,0,934,534,62,878,858,110,183,2
47,3415,0,0,943,535,62,877,858,110,183,2
48,3414,0,0,996,534,63,877,857,110,183,2
49,3413,0,0,989,533,62,877,857,110,183,2
50,3411,0,0,998,530,62,878,856,110,183,2
51,3415,0,0,1007,533,62,878,857,110,183,2
52,3415,0,0,1007,531,62,879,857,110,183,2
53,3412,0,0,959,531,62,879,858,110,183,2
54,3417,0,0,936,531,63,879,858,110,183,2
55,3417,0,0,976,534,62,878,859,110,183,2
56,3424,0,0,953,533,63,877,858,110,183,2
57,3409,0,0,982,532,62,877,858,110,183,2
58,3410,0,0,1008,533,62,877,857,110,183,2
59,3423,0,0,1013,533,62,878,859,110,183,2
60,3423,0,0,1021,531,63,879,858,110,183,2
61,3423,0,0,1050,532,63,879,858,110,183,2
62,3423,0,0,1040,532,63,880,858,110,183,2
63,3422,0,0,1039,533,62,880,857,110,183,2
