,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3724,0,0,3806,899,171,0,724,83,185,4
1,3731,0,0,3792,893,170,0,728,83,185,4
2,3707,0,0,3775,887,175,0,727,83,185,4
3,3705,0,0,3761,892,176,0,724,83,185,4
4,3713,0,0,3765,887,165,0,722,83,185,4
5,3685,0,0,3751,897,171,0,718,83,185,4
6,3683,0,0,3762,885,157,0,719,83,185,4
7,3664,0,0,3755,886,161,0,717,83,185,4
8,3650,0,0,3760,899,163,0,718,83,185,4
9,3664,0,0,3751,901,171,0,718,83,185,4
10,3665,0,0,3751,898,171,0,719,83,185,4
11,3671,0,0,3751,906,167,0,717,83,185,4
12,3671,0,0,3751,907,162,0,715,83,185,4
13,3670,0,0,3759,906,163,0,715,83,185,4
14,3661,0,0,3753,908,162,0,714,83,185,4
15,3663,0,0,3743,909,159,0,716,83,185,4
16,3662,0,0,3745,903,159,0,714,83,185,4
17,3648,0,0,3750,897,157,0,714,83,185,4
18,3649,0,0,3755,905,165,0,713,83,185,4
19,3664,0,0,3779,905,159,0,714,83,185,4
20,3666,0,0,3792,905,158,0,713,83,185,4
21,3669,0,0,3792,905,163,0,713,83,185,4
22,3661,0,0,3799,899,153,0,713,83,185,4
23,3639,0,0,3787,907,156,0,710,83,185,4
24,3653,0,0,3838,887,152,0,714,83,185,4
25,3652,0,0,3867,868,152,0,711,83,185,4
26,3702,0,0,3888,870,149,0,709,83,185,4
27,3705,0,0,3879,881,161,0,709,83,185,4
28,3728,0,0,3875,899,146,0,704,83,185,4
29,3726,0,0,3895,895,144,0,680,83,185,4
30,3707,0,0,3852,906,145,0,563,83,185,4
31,3548,0,0,3779,959,168,0,612,83,185,4
32,3344,0,0,3602,902,172,14,682,83,185,4
33,3394,0,0,3513,912,158,8,700,83,185,4
34,3574,0,0,3553,933,156,0,706,83,185,4
35,3649,0,0,3724,914,177,0,711,83,185,4
36,3682,0,0,3792,869,176,0,713,83,185,4
37,3694,0,0,3829,860,172,0,715,83,185,4
38,3696,0,0,3826,856,178,0,718,83,185,4
39,3685,0,0,3854,845,171,0,719,83,185,4
40,3686,0,0,3882,833,174,0,721,83,185,4
41,3679,0,0,3935,814,187,0,717,83,185,4
42,3757,0,0,3929,742,194,0,712,83,185,4
43,3731,0,0,3773,806,184,0,713,83,185,4
44,3635,0,0,3606,875,177,130,718,83,185,4
45,3522,0,0,3528,856,177,264,723,83,185,4
46,3537,0,0,3618,863,186,46,725,83,185,4
47,3600,0,0,3645,883,195,0,728,83,185,4
48,3607,0,0,3649,878,181,0,730,83,185,4
49,3637,0,0,3726,875,169,0,733,83,185,4
50,3632,0,0,3829,841,195,0,734,83,185,4
51,3661,0,0,3861,801,180,0,734,83,185,4
52,3683,0,0,3870,795,169,0,735,83,185,4
53,3670,0,0,3863,790,179,0,734,83,185,4
54,3680,0,0,3878,802,176,0,734,83,185,4
55,3677,0,0,3890,803,186,0,735,83,185,4
56,3677,0,0,3897,810,182,0,735,83,185,4
57,3666,0,0,3891,813,178,0,736,83,185,4
58,3687,0,0,3909,780,176,0,736,83,185,4
59,3782,0,0,3941,625,178,0,723,83,185,4
60,3803,0,0,3951,580,150,0,703,83,185,4
61,3824,0,0,3959,483,153,0,706,83,185,4
62,3830,0,0,3947,508,152,0,710,83,185,4
63,3826,0,0,3938,464,148,0,708,83,185,4
